model_name,km_driven,fuel_type,transmission,owner,engine_capacity,price,link
2020 Renault TRIBER,23.84k km,Petrol,Manual,1st,999cc,₹4.77 lakh,https://www.cars24.com/buy-used-renault-triber-2020-cars-hyderabad-10444249722/
2015 Honda City,77.39k km,Petrol,,1st,1497cc,₹4.84 lakh,https://www.cars24.com/buy-used-honda-city-2015-cars-hyderabad-10401349767/
2017 Maruti Dzire,79.53k km,Diesel,Manual,1st,1248cc,₹6.87 lakh,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-hyderabad-10450007798/
2021 Skoda KUSHAQ,51.62k km,Petrol,Manual,1st,999cc,₹9.95 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-hyderabad-10481840708/
2015 Honda Brio,42.26k km,Petrol,,1st,1198cc,₹3.88 lakh,https://www.cars24.com/buy-used-honda-brio-2015-cars-hyderabad-10431308794/
2020 KIA SELTOS,85.15k km,Diesel,Manual,1st,1493cc,₹8.50 lakh,https://www.cars24.com/buy-used-kia-seltos-2020-cars-hyderabad-10499242775/
2014 Datsun Go,60.48k km,Petrol,Manual,2nd,1198cc,₹1.96 lakh,https://www.cars24.com/buy-used-datsun-go-2014-cars-hyderabad-10438542702/
2019 Hyundai NEW SANTRO,83.09k km,Petrol,,2nd,1086cc,₹3.95 lakh,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-hyderabad-10490528709/
2019 Maruti Baleno,53.37k km,Petrol,Manual,1st,1197cc,₹5.05 lakh,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10441801774/
2021 Renault Kiger,24.15k km,Petrol,Manual,1st,999cc,₹5.57 lakh,https://www.cars24.com/buy-used-renault-kiger-2021-cars-hyderabad-10453240741/
2021 Toyota YARIS,32.78k km,Petrol,Manual,1st,1496cc,₹7.11 lakh,https://www.cars24.com/buy-used-toyota-yaris-2021-cars-hyderabad-10407242740/
2015 Hyundai Elite i20,65.66k km,Petrol,Manual,1st,1197cc,₹4.52 lakh,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-hyderabad-10405940709/
2021 Jeep Compass,57.77k km,Diesel,Manual,1st,1956cc,₹15.43 lakh,https://www.cars24.com/buy-used-jeep-compass-2021-cars-hyderabad-10459647751/
2013 Hyundai Santro Xing,78.49k km,Petrol,Manual,2nd,1086cc,₹1.99 lakh,https://www.cars24.com/buy-used-hyundai-santro-xing-2013-cars-hyderabad-10482544765/
2017 Maruti Alto K10,91.42k km,Petrol,,3rd,998cc,₹2.55 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-hyderabad-10490941703/
2015 Honda City,72.22k km,Petrol,Manual,1st,1497cc,₹4.83 lakh,https://www.cars24.com/buy-used-honda-city-2015-cars-hyderabad-10459802774/
2019 Volkswagen Polo,56.96k km,Petrol,,1st,,₹7.70 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-hyderabad-10405301791/
2019 Ford New Figo,86.29k km,Petrol,Manual,1st,1194cc,₹4.19 lakh,https://www.cars24.com/buy-used-ford-new-figo-2019-cars-hyderabad-10412949767/
2022 Tata TIGOR,49.95k km,Petrol,,1st,1199cc,₹6.00 lakh,https://www.cars24.com/buy-used-tata-tigor-2022-cars-hyderabad-10415206792/
2022 Skoda SLAVIA,66.82k km,Petrol,Manual,1st,999cc,₹8.32 lakh,https://www.cars24.com/buy-used-skoda-slavia-2022-cars-hyderabad-10453847785/
2013 Maruti Ritz,1.1L km,Diesel,Manual,1st,1248cc,₹2.61 lakh,https://www.cars24.com/buy-used-maruti-ritz-2013-cars-hyderabad-10416841767/
2017 Maruti Celerio,35.50k km,Petrol,,1st,998cc,₹3.92 lakh,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-hyderabad-10400643765/
2019 Hyundai NEW SANTRO,87.20k km,Petrol,Manual,1st,1086cc,₹3.83 lakh,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-hyderabad-10477947766/
2015 Hyundai Grand i10,84.84k km,Petrol,Manual,1st,1197cc,₹3.47 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-hyderabad-10421901790/
2014 Maruti Alto 800,78.05k km,Petrol,Manual,2nd,796cc,₹1.96 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-hyderabad-10406944763/
2021 Hyundai GRAND I10 NIOS,39.51k km,Petrol,Manual,1st,1197cc,₹5.07 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2021-cars-hyderabad-10480448762/
2023 Maruti Alto K10,50.17k km,Petrol,Manual,1st,998cc,₹3.85 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2023-cars-hyderabad-10459405793/
2017 Ford Ecosport,91.84k km,Petrol,Manual,1st,1499cc,₹5.79 lakh,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-hyderabad-10431403799/
2021 KIA SONET,44.97k km,Petrol,Manual,1st,998cc,₹7.61 lakh,https://www.cars24.com/buy-used-kia-sonet-2021-cars-hyderabad-10454506773/
2015 Maruti Swift,33.99k km,Petrol,Manual,1st,1197cc,₹4.16 lakh,https://www.cars24.com/buy-used-maruti-swift-2015-cars-hyderabad-10437204791/
2021 Renault Kwid,63.00k km,Petrol,,1st,999cc,₹3.94 lakh,https://www.cars24.com/buy-used-renault-kwid-2021-cars-hyderabad-10454642746/
2014 Nissan Micra,63.94k km,Petrol,,1st,1198cc,₹3.29 lakh,https://www.cars24.com/buy-used-nissan-micra-2014-cars-hyderabad-10460842768/
2022 KIA SONET,88.40k km,Diesel,Manual,1st,1493cc,₹8.49 lakh,https://www.cars24.com/buy-used-kia-sonet-2022-cars-hyderabad-10449445720/
2021 Hyundai VENUE,50.87k km,Petrol,Manual,1st,1197cc,₹6.95 lakh,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-hyderabad-10419143765/
2020 Mahindra XUV500,95.59k km,Diesel,Manual,1st,2179cc,₹9.54 lakh,https://www.cars24.com/buy-used-mahindra-xuv500-2020-cars-hyderabad-10445456772/
2019 Renault TRIBER,24.27k km,Petrol,Manual,1st,999cc,₹4.71 lakh,https://www.cars24.com/buy-used-renault-triber-2019-cars-hyderabad-10442948744/
2019 Nissan Kicks,99.77k km,Diesel,Manual,2nd,1461cc,₹6.31 lakh,https://www.cars24.com/buy-used-nissan-kicks-2019-cars-hyderabad-10472503796/
2020 Ford New Figo,87.76k km,Petrol,Manual,2nd,1194cc,₹4.63 lakh,https://www.cars24.com/buy-used-ford-new-figo-2020-cars-hyderabad-10487544767/
2017 Renault Kwid,48.16k km,Petrol,Manual,2nd,999cc,₹2.66 lakh,https://www.cars24.com/buy-used-renault-kwid-2017-cars-hyderabad-10441946720/
2014 Hyundai Grand i10,55.01k km,Petrol,Manual,1st,1197cc,₹3.39 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-hyderabad-30996401775/
2020 Tata Tiago,46.72k km,Petrol,Manual,1st,,₹4.82 lakh,https://www.cars24.com/buy-used-tata-tiago-2020-cars-hyderabad-10481846764/
2018 Mahindra KUV 100 NXT,56.76k km,Petrol,Manual,1st,1198cc,₹4.64 lakh,https://www.cars24.com/buy-used-mahindra-kuv-100-nxt-2018-cars-hyderabad-10414840701/
2021 MG HECTOR,22.94k km,Petrol,,2nd,1451cc,₹13.00 lakh,https://www.cars24.com/buy-used-mg-hector-2021-cars-hyderabad-10460643724/
2017 Maruti Wagon R 1.0,51.81k km,Petrol,Manual,1st,998cc,₹3.69 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-hyderabad-10424906792/
2021 Mahindra Thar,40.34k km,Petrol,,1st,1997cc,₹10.25 lakh,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-hyderabad-10402733745/
2021 Honda WR-V,61.08k km,Petrol,Manual,1st,1199cc,₹6.90 lakh,https://www.cars24.com/buy-used-honda-wr-v-2021-cars-hyderabad-10470444703/
2016 Maruti Wagon R 1.0,46.12k km,Petrol,Manual,1st,998cc,₹3.16 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-hyderabad-10461208779/
2017 Hyundai Grand i10,1.0L km,Petrol,Manual,1st,1197cc,₹3.88 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-hyderabad-10457148707/
2016 Hyundai Grand i10,74.84k km,Petrol,Manual,1st,1197cc,₹4.43 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-hyderabad-10454800772/
2018 Maruti Ciaz,1.0L km,Petrol,Manual,2nd,1373cc,₹5.21 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-hyderabad-10487044707/
2024 Skoda KUSHAQ,8.91k km,Petrol,,1st,1498cc,₹16.80 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2024-cars-hyderabad-10443241706/
2021 Hyundai ALCAZAR,91.18k km,Petrol,,1st,1999cc,₹11.95 lakh,https://www.cars24.com/buy-used-hyundai-alcazar-2021-cars-hyderabad-10460140745/
